iter	Passed	Remaining
196	369	1506
197	374	1514
198	374	1509
199	375	1503
200	376	1497
201	377	1490
202	378	1485
203	379	1479
204	380	1473
205	380	1468
206	381	1462
207	382	1457
208	383	1451
209	384	1446
210	385	1441
211	386	1435
212	387	1432
213	388	1427
214	389	1422
215	390	1417
216	391	1411
217	392	1406
218	392	1400
219	393	1394
220	394	1389
221	394	1383
222	395	1377
223	396	1372
224	396	1366
225	397	1361
226	398	1356
227	398	1350
228	399	1345
229	400	1340
230	401	1337
231	402	1332
232	403	1327
233	404	1322
234	404	1318
235	405	1313
236	406	1308
237	407	1303
238	407	1298
239	408	1293
240	409	1288
241	409	1284
242	410	1279
243	411	1275
244	412	1270
245	413	1266
246	413	1261
247	415	1258
248	416	1254
249	416	1250
250	417	1246
251	418	1241
252	419	1237
253	419	1233
254	420	1228
255	421	1224
256	421	1219
257	422	1215
258	423	1211
259	424	1207
260	424	1203
261	425	1199
262	427	1196
263	427	1192
264	428	1188
265	429	1185
266	430	1181
267	431	1177
268	431	1173
269	432	1169
270	433	1165
271	433	1161
272	434	1157
273	435	1153
274	436	1149
275	436	1145
276	437	1141
277	438	1138
278	438	1134
279	440	1131
280	440	1128
281	441	1124
282	442	1120
283	443	1117
284	444	1114
285	445	1111
286	445	1107
287	446	1103
288	447	1100
289	447	1096
290	448	1093
291	449	1089
292	450	1086
293	450	1082
294	451	1078
295	452	1075
296	452	1072
297	453	1069
298	454	1065
299	455	1062
300	456	1059
301	456	1055
302	457	1052
303	458	1049
304	459	1046
305	459	1042
306	460	1039
307	461	1036
308	462	1033
309	462	1029
310	463	1026
311	464	1023
312	464	1019
313	465	1016
314	466	1013
315	466	1010
316	467	1007
317	468	1004
318	469	1001
319	469	998
320	470	995
321	471	992
322	472	990
323	473	987
324	473	984
325	474	981
326	475	978
327	476	975
328	476	972
329	477	969
330	478	966
331	479	964
332	479	961
333	480	958
334	481	955
335	482	952
336	482	950
337	483	947
338	484	945
339	485	942
340	487	941
341	488	939
342	488	936
343	489	933
344	490	932
345	491	929
346	492	927
347	493	925
348	494	922
349	495	920
350	496	917
351	497	914
352	497	912
353	498	909
354	499	907
355	500	905
356	501	903
357	502	901
358	503	898
359	504	896
360	505	893
361	505	891
362	506	889
363	507	886
364	508	884
365	509	882
366	510	880
367	511	877
368	512	875
369	512	872
370	513	870
371	514	868
372	515	865
373	515	863
374	516	861
375	517	858
376	518	856
377	518	853
378	519	851
379	520	849
380	521	846
381	521	844
382	522	841
383	523	839
384	524	837
385	524	834
386	525	832
387	526	830
388	526	827
389	527	825
390	529	824
391	530	822
392	530	819
393	531	817
394	532	816
395	533	813
396	534	811
397	534	809
398	535	806
399	536	804
400	536	802
401	537	799
402	538	797
403	539	795
404	539	792
405	540	790
406	540	788
407	541	785
408	542	783
409	546	785
410	547	784
411	547	782
412	548	779
413	549	777
414	550	775
415	550	773
416	551	771
417	552	768
418	552	766
419	553	764
420	554	761
421	554	759
422	555	757
423	556	755
424	556	753
425	557	751
426	558	749
427	559	747
428	559	745
429	560	743
430	561	741
431	561	738
432	562	736
433	563	734
434	563	732
435	564	730
436	565	728
437	565	726
438	566	724
439	567	721
440	567	719
441	568	717
442	569	715
443	569	713
444	570	711
445	571	709
446	571	707
447	573	706
448	574	704
449	574	702
450	575	700
451	576	698
452	576	696
453	577	694
454	578	692
455	578	690
456	579	688
457	580	686
458	580	684
459	581	682
460	582	680
461	582	678
462	583	676
463	584	674
464	584	672
465	585	670
466	586	668
467	587	667
468	588	665
469	588	664
470	589	662
471	590	660
472	591	658
473	591	656
474	592	654
475	592	652
476	593	650
477	594	648
478	594	646
479	595	644
480	595	643
481	596	641
482	597	639
483	598	637
484	598	635
485	599	633
486	600	632
487	600	630
488	601	628
489	602	626
490	602	624
491	603	623
492	604	621
493	604	619
494	605	617
495	606	615
496	606	614
497	607	612
498	607	610
499	608	608
500	609	606
501	609	604
502	610	603
503	611	601
504	611	599
505	612	597
506	612	596
507	613	594
508	614	592
509	614	590
510	615	589
511	616	587
512	617	585
513	617	584
514	618	582
515	619	580
516	619	578
517	620	577
518	620	575
519	621	573
520	622	571
521	622	570
522	623	568
523	623	566
524	624	565
525	625	564
526	626	562
527	627	560
528	628	559
529	628	557
530	629	556
531	630	554
532	630	552
533	631	551
534	632	549
535	632	547
536	633	546
537	634	544
538	634	542
539	635	541
540	636	539
541	636	538
542	637	536
543	637	534
544	638	533
545	639	531
546	639	529
547	640	528
548	641	526
549	641	525
550	642	523
551	643	522
552	644	520
553	644	519
554	645	517
555	646	515
556	646	514
557	647	512
558	648	511
559	648	509
560	649	508
561	649	506
562	650	504
563	651	503
564	651	501
565	652	500
566	653	498
567	653	497
568	654	495
569	655	494
570	655	492
571	656	491
572	657	489
573	658	488
574	658	486
575	659	485
576	660	483
577	660	482
578	661	480
579	662	479
580	662	477
581	663	476
582	663	474
583	664	473
584	665	471
585	665	470
586	666	468
587	667	467
588	667	465
589	668	464
590	669	463
591	669	461
592	670	460
593	671	458
594	672	457
595	673	456
596	674	455
597	674	453
598	675	452
599	676	450
600	676	449
601	677	447
602	677	446
603	678	444
604	679	443
605	679	441
606	680	440
607	681	439
608	681	437
609	682	436
610	683	434
611	683	433
612	684	432
613	685	430
614	686	429
615	686	428
616	687	426
617	688	425
618	688	423
619	689	422
620	690	421
621	690	419
622	691	418
623	692	417
624	692	415
625	693	414
626	694	412
627	694	411
628	695	410
629	696	408
630	696	407
631	697	406
632	697	404
633	698	403
634	699	401
635	700	400
636	701	399
637	701	398
638	702	396
639	703	395
640	703	394
641	704	392
642	704	391
643	705	390
644	706	388
645	706	387
646	707	385
647	708	384
648	708	383
649	709	381
650	710	380
651	710	379
652	711	378
653	712	377
654	713	375
655	714	374
656	715	373
657	715	372
658	716	370
659	717	369
660	717	368
661	718	366
662	719	365
663	719	364
664	720	362
665	720	361
666	721	360
667	722	358
668	722	357
669	723	356
670	724	355
671	724	353
672	725	352
673	726	351
674	727	350
675	728	348
676	728	347
677	729	346
678	730	345
679	730	343
680	731	342
681	733	341
682	733	340
683	734	339
684	735	338
685	736	336
686	736	335
687	737	334
688	737	333
689	738	331
690	739	330
691	739	329
692	740	328
693	741	326
694	741	325
695	742	324
696	744	323
697	744	322
698	745	321
699	746	319
700	746	318
701	747	317
702	748	316
703	748	314
704	749	313
705	749	312
706	750	311
707	751	309
708	752	308
709	752	307
710	753	306
711	754	305
712	754	303
713	755	302
714	756	301
715	756	300
716	757	298
717	758	297
718	759	296
719	760	295
720	761	294
721	762	293
722	762	292
723	763	291
724	764	289
725	764	288
726	766	287
727	767	286
728	768	285
729	768	284
730	769	283
731	770	281
732	770	280
733	771	279
734	772	278
735	773	277
736	774	276
737	774	275
738	775	273
739	776	272
740	776	271
741	777	270
742	778	269
743	778	267
744	779	266
745	780	265
746	780	264
747	781	263
748	781	262
749	782	260
750	783	259
751	783	258
752	784	257
753	785	256
754	785	255
755	787	254
756	787	252
757	788	251
758	789	250
759	789	249
760	790	248
761	791	247
762	791	245
763	792	244
764	792	243
765	793	242
766	794	241
767	794	240
768	795	238
769	796	237
770	796	236
771	797	235
772	798	234
773	798	233
774	799	232
775	800	231
776	801	229
777	801	228
778	802	227
779	803	226
780	803	225
781	804	224
782	805	223
783	805	221
784	806	220
785	807	219
786	807	218
787	808	217
788	808	216
789	809	215
790	810	214
791	810	212
792	811	211
793	812	210
794	813	209
795	814	208
796	814	207
797	815	206
798	816	205
799	817	204
800	817	203
801	818	202
802	818	200
803	819	199
804	820	198
805	820	197
806	821	196
807	822	195
808	822	194
809	823	193
810	824	192
811	824	190
812	825	189
813	826	188
814	826	187
815	827	186
816	828	185
817	828	184
818	829	183
819	830	182
820	830	181
821	831	180
822	832	179
823	832	177
824	833	176
825	834	175
826	834	174
827	835	173
828	836	172
829	836	171
830	837	170
831	838	169
832	838	168
833	839	167
834	840	166
835	840	164
836	841	163
837	842	162
838	842	161
839	843	160
840	844	159
841	844	158
842	845	157
843	846	156
844	847	155
845	848	154
846	848	153
847	849	152
848	849	151
849	850	150
850	851	149
851	851	147
852	852	146
853	853	145
854	853	144
855	854	143
856	855	142
857	855	141
858	856	140
859	856	139
860	857	138
861	858	137
862	859	136
863	859	135
864	860	134
865	861	133
866	861	132
867	862	131
868	862	130
869	863	129
870	864	128
871	864	126
872	865	125
873	866	124
874	866	123
875	867	122
876	867	121
877	868	120
878	869	119
879	869	118
880	870	117
881	871	116
882	871	115
883	872	114
884	873	113
885	874	112
886	874	111
887	875	110
888	876	109
889	876	108
890	877	107
891	877	106
892	878	105
893	879	104
894	879	103
895	880	102
896	881	101
897	881	100
898	882	99
899	882	98
900	883	97
901	884	96
902	884	95
903	885	94
904	886	93
905	887	92
906	888	91
907	889	90
908	890	89
909	890	88
910	891	87
911	891	86
912	892	85
913	893	84
914	893	83
915	894	82
916	895	81
917	895	80
918	896	78
919	896	77
920	897	76
921	898	75
922	898	74
923	899	73
924	900	73
925	901	72
926	903	71
927	904	70
928	905	69
929	906	68
930	906	67
931	907	66
932	908	65
933	908	64
934	909	63
935	910	62
936	910	61
937	911	60
938	911	59
939	912	58
940	913	57
941	914	56
942	914	55
943	915	54
944	916	53
945	917	52
946	918	51
947	918	50
948	919	49
949	920	48
950	920	47
951	921	46
952	922	45
953	923	44
954	923	43
955	924	42
956	925	41
957	925	40
958	926	39
959	927	38
960	927	37
961	928	36
962	929	35
963	930	34
964	932	33
965	933	32
966	934	31
967	935	30
968	936	29
969	937	28
970	938	28
971	938	27
972	939	26
973	940	25
974	941	24
975	942	23
976	943	22
977	944	21
978	946	20
979	947	19
980	948	18
981	948	17
982	949	16
983	950	15
984	951	14
985	952	13
986	953	12
987	953	11
988	954	10
989	955	9
990	956	8
991	957	7
992	958	6
993	959	5
994	960	4
995	961	3
996	961	2
997	962	1
998	963	0
999	964	0
